Weight,ProductVisibility,MRP,FatContent_Regular,ProductType_Breads,ProductType_Breakfast,ProductType_Canned,ProductType_Dairy,ProductType_Frozen Foods,ProductType_Fruits and Vegetables,ProductType_Hard Drinks,ProductType_Health and Hygiene,ProductType_Household,ProductType_Meat,ProductType_Others,ProductType_Seafood,ProductType_Snack Foods,ProductType_Soft Drinks,ProductType_Starchy Foods,OutletSize_Medium,OutletSize_Small,LocationType_Tier 2,LocationType_Tier 3,OutletType_Supermarket Type1,OutletType_Supermarket Type2,OutletType_Supermarket Type3,OutletAge,Actual_OutletSales,Predicted_OutletSales
14.3,0.026299797,79.4302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,1743.0644,2094.6495232558236
7.93,0.07113587,42.7086,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,356.8688,2094.6495232558236
14.5,0.041313203,42.0454,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,377.5086,2094.6495232558236
12.857645184135976,0.044767032,173.7054,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,40,5778.4782,3178.661732144425
10.195,0.012455787,197.511,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,21,2356.932,2479.2880381898276
9.5,0.041951439,32.49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,26,865.54,2094.6495232558236
12.857645184135976,0.126831854,209.027,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,40,4613.994,3178.661732144425
10.5,0.013551445,142.0154,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,16,2410.8618,2298.5787557258764
14.0,0.023831558,103.1332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,16,1948.1308,2094.6495232558236
8.51,0.016176344,192.1478,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,16,1937.478,2479.2880381898276
8.85,0.026814124,103.7964,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,27,210.3928,2094.6495232558236
12.857645184135976,0.073229342,254.1014,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,40,255.0014,2479.2880381898276
10.8,0.029107004,240.5222,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,18,4541.4218,2479.2880381898276
9.8,0.0,49.2008,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,657.8104,2094.6495232558236
14.15,0.042180995,52.0982,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,578.5802,2094.6495232558236
6.825,0.059835659,264.3226,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,21,4229.1616,2479.2880381898276
7.07,0.093861144,115.5834,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,23,1267.0174,2094.6495232558236
11.15,0.105287746,103.2648,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,21,2388.8904,2094.6495232558236
18.85,0.068059156,120.344,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,1797.66,2094.6495232558236
12.857645184135976,0.127792701,111.1886,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,40,4447.544,2094.6495232558236
13.65,0.073060301,196.2426,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,23,2570.6538,2479.2880381898276
7.96,0.028339599,162.4894,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,1779.6834,2479.2880381898276
13.15,0.043852434,182.695,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,23,4211.185,2479.2880381898276
13.3,0.063664998,151.6708,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,3912.2408,2298.5787557258764
6.235,0.119345629,261.991,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,18,2366.919,2479.2880381898276
12.857645184135976,0.014522363,50.2324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,40,1298.31,2094.6495232558236
12.857645184135976,0.256152243,151.005,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,40,149.805,2298.5787557258764
9.5,0.0,228.4668,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,3916.2356,2479.2880381898276
20.6,0.048207431,188.0556,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,18,2065.3116,2479.2880381898276
13.85,0.056406129,231.43,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,3029.39,2479.2880381898276
15.5,0.085834992,49.6692,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,788.3072,2094.6495232558236
11.6,0.077164595,172.5106,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,2566.659,2479.2880381898276
16.5,0.159690469,142.4128,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,21,575.2512,2298.5787557258764
8.235,0.014456938,184.795,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,21,1464.76,2479.2880381898276
12.857645184135976,0.066336811,154.1656,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,40,617.8624,2298.5787557258764
13.65,0.025899245,81.1302,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,38,792.302,2094.6495232558236
17.6,0.016060186,47.2402,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,23,505.3422,2094.6495232558236
18.7,0.104658344,121.2072,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,21,1470.0864,2094.6495232558236
7.72,0.052086085,76.8986,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,23,467.3916,2094.6495232558236
21.25,0.009998763,182.3608,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,28,551.2824,2479.2880381898276
12.35,0.311090379,79.2328,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,27,154.4656,2094.6495232558236
12.5,0.071230537,128.102,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,21,885.514,2094.6495232558236
16.85,0.036596012,90.6488,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,18,633.8416,2094.6495232558236
8.71,0.121149472,93.7778,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,1783.6782,2094.6495232558236
7.55,0.027164679,152.334,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,21,2603.278,2298.5787557258764
13.5,0.06082246,85.154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,18,605.878,2094.6495232558236
7.935,0.017191055,51.535,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,23,848.895,2094.6495232558236
10.65,0.023971463,54.0272,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,447.4176,2094.6495232558236
13.0,0.0420611,254.1014,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,18,3315.0182,2479.2880381898276
9.21,0.008764786,123.1414,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,28,4264.449,2094.6495232558236
18.7,0.014675574,50.8324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,18,934.7832,2094.6495232558236
14.0,0.029697925,143.0786,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,3178.5292,2298.5787557258764
9.0,0.069196376,54.3614,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,718.3982,2094.6495232558236
12.857645184135976,0.121554149,53.7324,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,40,311.5944,2094.6495232558236
5.765,0.0821398,37.2164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,579.246,2094.6495232558236
7.235,0.077011493,117.3492,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,23,1506.0396,2094.6495232558236
18.25,0.089004389,196.7452,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,23,978.726,2479.2880381898276
8.6,0.05443912,128.831,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,38,1038.648,2094.6495232558236
6.4,0.084885375,39.2796,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26,701.7532,2094.6495232558236
7.5,0.032811503,239.6906,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,18,2614.5966,2479.2880381898276
12.1,0.061299601,56.2614,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,23,552.614,2094.6495232558236
12.5,0.17314115,168.4448,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,27,170.4448,2479.2880381898276
